Temperature_K,Volume_m3,Conversion,OutletFlow_B_mol_s,OutletTemperature_K,HeatDuty_kW,Success,Error,CaseType,Timestamp,RefluxRatio,Stages,DistillatePurity,CondenserDuty_kW,ReboilerDuty_kW
300.0,1.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
300.0,2.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
300.0,3.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
325.0,1.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
325.0,2.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
325.0,3.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
350.0,1.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
350.0,2.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
350.0,3.0,0.0,0.0,,0.0,True,,PFR_Sweep,22:38:10,,,,,
,,,,,,True,,Distillation_Sweep,22:38:10,1.5,10.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,1.5,15.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,1.5,20.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,2.0,10.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,2.0,15.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,2.0,20.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,3.0,10.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,3.0,15.0,0.95,0.0,0.0
,,,,,,True,,Distillation_Sweep,22:38:10,3.0,20.0,0.95,0.0,0.0
